"Timestamp","n_mints","trick_or_treat","archie_girls","the_dress","imitation","friday_or_saturday"
2015-10-23 09:30:11,7,FALSE,"Veronica","White and gold","Flattery",NA
2015-10-23 09:30:20,5,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 09:30:28,7,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 09:31:10,11,FALSE,"???","Blue and black","Lazily flattering someone",NA
2015-10-23 09:32:13,4,FALSE,"???","Blue and black","Lazily flattering someone",NA
2015-10-23 09:32:53,5,FALSE,"Betty",NA,"Laziness",NA
2015-10-23 09:32:55,17,FALSE,"Betty","Blue and black","Flattery",NA
2015-10-23 09:33:24,4,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 09:33:38,23,FALSE,"Betty","Blue and black","Flattery",NA
2015-10-23 09:34:09,32,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 09:34:22,24,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 09:34:26,7,FALSE,"???","White and gold","Lazily flattering someone",NA
2015-10-23 09:34:34,23,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 09:38:25,5,FALSE,"???","White and gold","Lazily flattering someone",NA
2015-10-23 09:38:27,24,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 09:38:58,5,FALSE,"Veronica","White and gold","Flattery",NA
2015-10-23 09:40:32,3,FALSE,"???","White and gold","Lazily flattering someone",NA
2015-10-23 09:42:17,4,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 09:42:24,3,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 09:43:03,5,FALSE,"???","Blue and black","Flattery",NA
2015-10-23 09:43:03,6,FALSE,"Betty","Blue and black","Flattery",NA
2015-10-23 09:54:40,3,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 09:45:41,3,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 09:46:04,7,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 09:46:10,7,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 09:46:23,90324,FALSE,"???","White and gold","Flattery",NA
2015-10-23 09:46:59,42,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 09:47:51,8,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 09:48:21,7,FALSE,"Veronica","White and gold","Flattery",NA
2015-10-23 09:49:47,5,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 09:49:58,4,FALSE,"???","Blue and black","Lazily flattering someone",NA
2015-10-23 09:52:31,21,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 09:52:32,5,FALSE,"Veronica","Blue and black","Flattery",NA
2015-10-23 09:53:20,5,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 09:53:48,7,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 09:54:48,14,FALSE,"Betty","White and gold","Flattery",NA
2015-10-23 09:57:47,1000000,FALSE,"Betty","White and gold","Laziness",NA
2015-10-23 09:58:37,12,FALSE,"Betty","Blue and black","Laziness",NA
2015-10-23 09:58:49,7,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 09:59:55,6,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 10:00:08,3,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 10:00:42,7,FALSE,"???","White and gold","Lazily flattering someone",NA
2015-10-23 10:02:07,10,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 10:01:24,11,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 10:02:06,5,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 10:02:24,15,FALSE,"???","Blue and black","Laziness",NA
2015-10-23 10:02:40,3,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 10:03:45,5,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 10:04:44,19,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 10:05:01,5,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 10:06:25,7,FALSE,"Veronica","Blue and black","Flattery",NA
2015-10-23 10:06:34,23,FALSE,"Veronica","Blue and black","Flattery",NA
2015-10-23 10:06:43,7,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 10:06:50,6,FALSE,"???","Blue and black","Lazily flattering someone",NA
