user,age
ID-0534,48
ID-0535,31
ID-0536,NA
ID-0525,16
ID-0537,50
ID-0538,45
ID-0539,43
ID-0540,25
ID-0541,35
ID-0542,46
ID-0544,50
ID-0545,43
ID-0546,34
ID-0543,32
ID-0547,44
ID-0548,36
ID-0549,45
ID-0550,31
ID-0551,26
ID-0552,38
ID-0553,47
ID-0554,30
ID-0555,49
ID-0556,36
ID-0557,29
ID-0558,19
ID-0559,55
ID-0560,27
ID-0561,24
ID-0562,NA
ID-0563,NA
ID-0564,42
ID-0565,42
ID-0566,40
ID-0567,NA
ID-0568,NA
ID-0569,43
ID-0570,42
ID-0571,19
ID-0572,21
ID-0573,34
ID-0574,50
ID-0575,54
ID-0576,19
ID-0577,36
ID-0578,32
ID-0579,45
ID-0580,28
ID-0581,41
ID-0582,27
ID-0583,37
ID-0584,34
ID-0585,35
ID-0586,20
ID-0587,36
ID-0588,71
ID-0589,48
ID-0590,47
ID-0591,41
ID-0592,58
ID-0593,37
ID-0594,41
ID-0595,45
ID-0596,42
ID-0597,46
ID-0598,NA
ID-0599,30
ID-0600,39
ID-0601,42
ID-0602,75
ID-0603,42
ID-0604,28
ID-0605,45
ID-0606,32
ID-0607,34
ID-0608,32
ID-0609,27
ID-0610,47
ID-0611,59
ID-0612,37
ID-0613,33
ID-0614,46
ID-0615,28
ID-0616,51
ID-0617,46
ID-0618,23
ID-0619,33
ID-0620,33
ID-0621,61
ID-0622,36
ID-0623,36
ID-0624,29
ID-0625,40
ID-0626,47
ID-0627,35
ID-0628,45
ID-0629,46
ID-0630,NA
ID-0631,39
ID-0632,37
ID-0633,31
ID-0634,40
ID-0635,42
ID-0636,55
ID-0637,40
ID-0638,57
ID-0639,43
ID-0640,28
ID-0641,50
ID-0642,51
ID-0643,44
ID-0644,NA
ID-0645,50
ID-0646,35
ID-0647,31
ID-0648,50
ID-0649,30
ID-0650,32
ID-0651,56
ID-0652,34
ID-0653,NA
ID-0654,45
ID-0655,30
ID-0656,31
ID-0658,36
ID-0659,18
ID-0657,45
ID-0660,29
ID-0661,17
ID-0662,17
ID-0663,35
ID-0664,17
ID-0665,17
ID-0666,45
ID-0667,52
ID-0668,18
ID-0669,18
ID-0670,43
ID-0671,18
ID-0672,18
ID-0673,37
ID-0674,19
ID-0675,35
ID-0676,40
ID-0677,18
ID-0678,21
ID-0679,18
ID-0680,18
ID-0681,18
ID-0682,47
ID-0683,18
ID-0684,18
ID-0685,29
ID-0686,18
ID-0687,19
ID-0689,43
ID-0690,NA
ID-0688,NA
ID-0691,47
ID-0692,64
ID-0693,26
ID-0694,50
ID-0695,45
ID-0696,30
ID-0697,30
ID-0698,38
ID-0699,56
ID-0700,35
ID-0701,63
ID-0702,50
ID-0703,47
ID-0704,46
ID-0705,24
ID-0706,42
ID-0707,50
ID-0708,46
ID-0709,37
ID-0710,32
ID-0711,46
ID-0712,37
ID-0713,30
ID-0714,48
ID-0715,44
ID-0716,44
ID-0717,26
ID-0718,35
ID-0719,54
ID-0720,26
ID-0721,44
ID-0722,65
ID-0723,58
ID-0725,58
ID-0726,44
ID-0727,34
ID-0724,62
ID-0728,46
ID-0729,29
ID-0730,33
ID-0731,45
ID-0732,22
ID-0733,39
ID-0734,41
ID-0735,43
ID-0736,29
ID-0737,48
ID-0738,18
ID-0739,45
ID-0740,42
ID-0741,38
ID-0742,69
ID-0743,35
ID-0744,31
ID-0745,42
ID-0746,65
ID-0747,46
ID-0748,NA
ID-0749,36
ID-0750,54
ID-0751,47
ID-0752,30
ID-0753,38
ID-0754,46
ID-0755,47
ID-0756,46
ID-0757,33
ID-0758,42
ID-0759,31
ID-0760,42
ID-0761,33
ID-0762,37
ID-0763,27
ID-0764,30
ID-0765,35
ID-0766,36
ID-0767,71
ID-0768,28
ID-0769,32
ID-0770,38
ID-0771,53
ID-0772,37
ID-0773,NA
ID-0774,NA
ID-0775,27
ID-0776,37
ID-0778,49
ID-0779,67
ID-0780,38
ID-0781,47
ID-0777,39
ID-0782,49
ID-0783,34
ID-0784,37
ID-0785,30
ID-0786,33
ID-0787,35
ID-0788,38
ID-0789,35
ID-0790,49
ID-0791,51
ID-0792,31
ID-0793,53
ID-0794,39
ID-0795,30
ID-0796,NA
ID-0797,22
ID-0798,53
ID-0799,NA
ID-0800,13
ID-0801,43
ID-0802,17
ID-0803,30
ID-0804,35
ID-0805,45
ID-0806,33
ID-0807,40
ID-0808,NA
ID-0809,46
ID-0810,42
ID-0811,56
ID-0812,30
ID-0813,66
ID-0814,66
ID-0815,33
ID-0816,8
ID-0817,39
ID-0818,74
ID-0819,74
ID-0820,30
ID-0821,61
ID-0822,29
ID-0823,37
ID-0824,38
ID-0825,40
ID-0826,30
ID-0827,47
ID-0828,54
ID-0829,35
ID-0830,38
ID-0831,52
ID-0832,31
ID-0833,32
ID-0834,46
ID-0835,22
ID-0836,38
ID-0837,37
ID-0838,46
ID-0839,58
ID-0840,46
ID-0841,50
ID-0842,NA
ID-0843,33
ID-0844,34
ID-0845,28
ID-0846,48
ID-0847,49
ID-0848,47
ID-0849,40
ID-0850,50
ID-0851,34
ID-0852,65
ID-0853,33
ID-0854,36
ID-0855,40
ID-0856,18
ID-0857,43
ID-0858,45
ID-0859,30
ID-0860,43
ID-0861,46
ID-0862,40
ID-0863,28
ID-0864,33
ID-0865,25
ID-0866,NA
ID-0867,13
ID-0868,61
ID-0869,36
ID-0870,39
ID-0871,21
ID-0872,27
ID-0873,49
ID-0874,34
ID-0875,44
ID-0876,51
ID-0877,36
ID-0878,33
ID-0879,43
ID-0880,35
ID-0881,10
ID-0882,54
ID-0883,57
ID-0884,52
ID-0885,52
ID-0886,65
ID-0887,28
ID-0888,36
ID-0889,30
ID-0890,22
ID-0891,32
ID-0892,51
ID-0893,67
ID-0894,50
ID-0895,52
ID-0896,42
ID-0897,44
ID-0898,45
ID-0899,31
ID-0900,45
ID-0901,44
ID-0902,NA
ID-0903,37
ID-0904,NA
ID-0905,24
ID-0906,NA
ID-0907,51
ID-0908,38
ID-0909,40
ID-0910,NA
ID-0911,39
ID-0912,25
ID-0001,35
ID-0002,38
ID-0003,40
ID-0004,NA
ID-0005,26
ID-0006,NA
ID-0007,30
ID-0008,26
ID-0009,45
ID-0010,34
ID-0011,43
ID-0012,62
ID-0013,45
ID-0014,NA
ID-0015,41
ID-0016,49
ID-0017,37
ID-0018,39
ID-0019,32
ID-0020,32
ID-0021,60
ID-0022,45
ID-0023,50
ID-0024,67
ID-0025,44
ID-0026,37
ID-0027,43
ID-0028,56
ID-0029,49
ID-0030,43
ID-0031,56
ID-0032,48
ID-0033,44
ID-0034,46
ID-0035,55
ID-0036,51
ID-0037,18
ID-0038,45
ID-0039,52
ID-0040,29
ID-0041,NA
ID-0042,42
ID-0043,43
ID-0044,25
ID-0045,33
ID-0046,52
ID-0047,16
ID-0048,42
ID-0049,32
ID-0050,40
ID-0051,47
ID-0052,44
ID-0053,52
ID-0054,50
ID-0055,62
ID-0056,58
ID-0057,32
ID-0058,58
ID-0059,66
ID-0060,58
ID-0061,43
ID-0062,44
ID-0063,42
ID-0064,47
ID-0065,20
ID-0066,44
ID-0067,29
ID-0068,43
ID-0069,43
ID-0070,56
ID-0071,42
ID-0072,21
ID-0073,20
ID-0074,43
ID-0075,43
ID-0076,58
ID-0077,37
ID-0078,30
ID-0079,54
ID-0080,21
ID-0081,NA
ID-0082,50
ID-0083,34
ID-0084,36
ID-0085,38
ID-0086,37
ID-0087,NA
ID-0088,36
ID-0089,32
ID-0090,44
ID-0091,55
ID-0092,51
ID-0093,NA
ID-0094,NA
ID-0095,33
ID-0096,46
ID-0097,NA
ID-0098,64
ID-0099,45
ID-0100,64
ID-0101,45
ID-0102,37
ID-0103,29
ID-0104,34
ID-0105,40
ID-0106,42
ID-0107,52
ID-0108,45
ID-0109,47
ID-0110,35
ID-0111,26
ID-0113,42
ID-0114,37
ID-0115,72
ID-0116,38
ID-0117,39
ID-0118,40
ID-0119,28
ID-0120,35
ID-0121,40
ID-0122,40
ID-0123,40
ID-0124,48
ID-0125,28
ID-0126,42
ID-0127,49
ID-0128,45
ID-0129,44
ID-0112,20
ID-0130,38
ID-0131,42
ID-0132,42
ID-0133,52
ID-0134,45
ID-0135,44
ID-0136,45
ID-0137,50
ID-0913,22
ID-0914,23
ID-0915,NA
ID-0916,39
ID-0917,33
ID-0918,22
ID-0919,44
ID-0920,45
ID-0921,50
ID-0922,50
ID-0923,54
ID-0924,NA
ID-0925,40
ID-0926,33
ID-0927,43
ID-0928,47
ID-0929,42
ID-1056,53
ID-1057,30
ID-1058,32
ID-1059,NA
ID-1060,58
ID-1061,40
ID-1062,28
ID-1063,40
ID-1064,36
ID-1065,45
ID-1066,NA
ID-1067,50
ID-1068,56
ID-1069,32
ID-1070,14
ID-1071,38
ID-1072,44
ID-1073,57
ID-1074,60
ID-1075,35
ID-1076,28
ID-1077,58
ID-1078,37
ID-1079,48
ID-1080,51
ID-1081,33
ID-1082,44
ID-1083,30
ID-1084,37
ID-1085,30
ID-1086,42
ID-1087,40
ID-1088,44
ID-1089,45
ID-1090,46
ID-1091,48
ID-1092,43
ID-1093,56
ID-1094,55
ID-1095,46
ID-1096,51
ID-1097,50
ID-1098,49
ID-1099,43
ID-1100,28
ID-1101,35
ID-1102,48
ID-1103,38
ID-1104,39
ID-1105,45
ID-1106,12
ID-1107,30
ID-1108,53
ID-1109,52
ID-1110,37
ID-1111,25
ID-1112,52
ID-1113,45
ID-1114,NA
ID-1115,32
ID-1116,30
ID-1117,44
ID-1118,54
ID-1119,50
ID-1120,38
ID-1121,32
ID-1122,41
ID-1123,50
ID-1124,35
ID-1125,46
ID-1126,46
ID-1127,59
ID-1128,56
ID-1129,65
ID-1130,48
ID-1131,45
ID-1132,9
ID-1133,33
ID-1134,52
ID-1135,40
ID-1136,36
ID-1137,11
ID-1138,37
ID-1139,13
ID-1140,52
ID-1141,9
ID-1142,33
ID-1143,54
ID-1144,32
ID-1145,36
ID-1146,13
ID-1147,68
ID-1148,33
ID-1149,37
ID-1150,29
ID-1151,48
ID-1152,31
ID-1153,46
ID-1154,71
ID-1155,57
ID-1156,40
ID-1157,33
ID-1158,26
ID-1159,9
ID-1160,42
ID-1161,62
ID-1162,30
ID-1163,62
ID-1164,35
ID-1165,NA
ID-1166,54
ID-1167,36
ID-1168,53
ID-1169,26
ID-1170,50
ID-1171,29
ID-1172,27
ID-1173,31
ID-1174,34
ID-1175,35
ID-1176,38
ID-1177,33
ID-1178,58
ID-1179,31
ID-1180,41
ID-1181,35
ID-1182,25
ID-1183,49
ID-1184,31
ID-1185,51
ID-1186,61
ID-1187,30
ID-1188,40
ID-1189,10
ID-1190,51
ID-1191,36
ID-1192,46
ID-1193,55
ID-1194,47
ID-1195,44
ID-1196,42
ID-1197,67
ID-1198,61
ID-1199,30
ID-1200,40
ID-1201,67
ID-1202,50
ID-1203,26
ID-1204,40
ID-1205,41
ID-1206,44
ID-1207,30
ID-1208,36
ID-1209,66
ID-1210,50
ID-1211,44
ID-1212,27
ID-1213,48
ID-1214,46
ID-1215,44
ID-1216,38
ID-1217,36
ID-1218,35
ID-1219,32
ID-1220,27
ID-1221,37
ID-1222,55
ID-1223,37
ID-1224,55
ID-1225,55
ID-1226,37
ID-1227,30
ID-1228,32
ID-1229,26
ID-1230,48
ID-1231,53
ID-1232,28
ID-1233,30
ID-1234,29
ID-1235,40
ID-1236,38
ID-1237,57
ID-1238,NA
ID-1239,48
ID-1240,55
ID-1241,33
ID-1242,57
ID-1243,59
ID-1244,32
ID-1245,40
ID-1246,23
ID-1247,25
ID-1248,NA
ID-1249,41
ID-1250,56
ID-1251,46
ID-1252,40
ID-1253,66
ID-1254,56
ID-1255,40
ID-1256,51
ID-1257,99
ID-1258,45
ID-1259,51
ID-1260,30
ID-1261,45
ID-1262,40
ID-1263,43
ID-1264,39
ID-1265,27
ID-1266,26
ID-1267,34
ID-1268,28
ID-1269,37
ID-1270,26
ID-1271,40
ID-1272,33
ID-1273,45
ID-1274,55
ID-1275,31
ID-1276,40
ID-1277,31
ID-1278,39
ID-1279,39
ID-1280,49
ID-1281,42
ID-1282,59
ID-1283,31
ID-1284,30
ID-1285,39
ID-1286,30
ID-1287,34
ID-0930,52
ID-0931,41
ID-1288,44
ID-1289,42
ID-1290,47
ID-1291,21
ID-1292,32
ID-1293,40
ID-1294,38
ID-1295,42
ID-1296,39
ID-1297,43
ID-1298,50
ID-1299,22
ID-1300,22
ID-1301,38
ID-1302,51
ID-1303,53
ID-1304,43
ID-1305,31
ID-1306,32
ID-1307,16
ID-1308,48
ID-1309,70
ID-1310,46
ID-1311,45
ID-1312,60
ID-1313,10
ID-1314,28
ID-1315,49
ID-1316,9
ID-1317,34
ID-1318,46
ID-1319,11
ID-1320,65
ID-1321,43
ID-1322,39
ID-1323,38
ID-1324,40
ID-1325,47
ID-1326,45
ID-1327,35
ID-1328,44
ID-1329,46
ID-1330,NA
ID-1331,58
ID-1332,57
ID-1333,38
ID-1334,43
ID-1335,30
ID-1336,32
ID-1337,45
ID-1338,42
ID-1339,48
ID-1340,57
ID-1341,39
ID-1342,57
ID-1343,28
ID-1344,50
ID-1345,55
ID-1346,63
ID-1347,35
ID-1348,45
ID-1349,49
ID-0932,31
ID-0933,30
ID-0934,48
ID-0935,19
ID-0936,34
ID-0937,54
ID-0938,31
ID-0939,62
ID-0940,43
ID-0941,65
ID-0942,43
ID-0943,42
ID-0944,67
ID-0945,49
ID-0946,49
ID-0947,58
ID-0948,32
ID-0949,30
ID-0950,53
ID-0951,36
ID-0952,45
ID-0953,23
ID-0954,34
ID-0955,44
ID-0956,34
ID-0957,17
ID-0958,55
ID-0959,25
ID-0960,41
ID-0961,48
ID-0962,40
ID-0963,25
ID-0964,NA
ID-0965,43
ID-0966,32
ID-0967,13
ID-0969,47
ID-0968,35
ID-0970,33
ID-0973,54
ID-0972,54
ID-0971,54
ID-0975,NA
ID-0976,54
ID-0977,67
ID-0974,NA
ID-0978,5
ID-0979,51
ID-0980,43
ID-0981,40
ID-0982,43
ID-0983,38
ID-0984,NA
ID-0986,32
ID-0987,72
ID-0988,44
ID-0985,NA
ID-0989,32
ID-0990,53
ID-0991,26
ID-0992,NA
ID-0993,32
ID-0994,72
ID-0995,35
ID-0996,44
ID-0997,59
ID-0998,37
ID-0999,22
ID-1000,33
ID-1001,37
ID-1002,50
ID-1003,47
ID-1004,54
ID-1005,41
ID-1007,40
ID-1008,44
ID-1009,31
ID-1006,45
ID-1010,41
ID-1011,34
ID-1012,52
ID-1013,54
ID-1014,58
ID-1015,28
ID-1016,28
ID-1017,45
ID-1018,30
ID-1019,69
ID-1020,31
ID-1021,32
ID-1022,30
ID-1023,67
ID-1024,42
ID-1025,44
ID-1026,34
ID-1027,45
ID-1028,44
ID-1029,41
ID-1030,NA
ID-1031,44
ID-1032,37
ID-1033,NA
ID-1034,34
ID-1035,54
ID-1036,34
ID-1037,53
ID-1038,33
ID-1039,64
ID-1040,36
ID-1041,44
ID-1042,35
ID-1043,35
ID-1044,58
ID-1045,44
ID-1046,58
ID-1047,19
ID-1048,39
ID-1049,49
ID-1050,56
ID-1051,NA
ID-1052,NA
ID-1053,40
ID-1054,56
ID-1055,49
ID-1350,44
ID-1351,17
ID-1352,18
ID-1353,NA
ID-1354,NA
ID-1355,7
ID-1356,NA
ID-1357,34
ID-1358,57
ID-1359,39
ID-1436,28
ID-1437,44
ID-1438,44
ID-1439,23
ID-1440,27
ID-1441,48
ID-1442,43
ID-1443,43
ID-1444,26
ID-1445,34
ID-1446,44
ID-1447,34
ID-1448,27
ID-1449,45
ID-1450,35
ID-1451,68
ID-1452,38
ID-1453,32
ID-1454,33
ID-1455,31
ID-1456,47
ID-1458,19
ID-1457,43
ID-1459,33
ID-1460,54
ID-1461,49
ID-1462,45
ID-1463,63
